Route ID,Timepoint Stop Name,Timepoint Stop Latitude,Timepoint Stop Longitude,Timepoint Stop Georeference
Q72,LGA/TERMINAL C,40.770431,-73.864401,POINT (-73.864401 40.770431)
BX39,SOUNDVIEW AV/STEPHENS AV,40.807868,-73.852716,POINT (-73.852716 40.807868)
SIM2,BATTERY PL / WASHINGTON ST,40.704955,-74.015609,POINT (-74.015609 40.704955)
M35,E 125 ST/LEXINGTON  AV,40.804281,-73.937125,POINT (-73.937125 40.804281)
B44,NOSTRAND AV/AV U,40.600949,-73.941896,POINT (-73.941896 40.600949)
BX29,CITY ISLAND AV / FORDHAM ST,40.847481,-73.786374,POINT (-73.786374 40.847481)
M11,AMSTERDAM AV/W 72 ST,40.778731,-73.98142,POINT (-73.98142 40.778731)
B15,HEGEMAN AV/ROCKAWAY AV,40.65628,-73.906863,POINT (-73.906863 40.65628)
B49,OCEAN AV / AV P,40.61124,-73.953851,POINT (-73.953851 40.61124)
S61,VICTORY BL/CLOVE RD,40.616261,-74.103606,POINT (-74.103606 40.616261)
B63,5 AV/50 ST,40.645297,-74.010014,POINT (-74.010014 40.645297)
B63,ATLANTIC AV/4 AV,40.684576,-73.978665,POINT (-73.978665 40.684576)
Q18,69 ST/52 DR,40.732116,-73.895756,POINT (-73.895756 40.732116)
B15,ST JOHNS PL/RALPH AV,40.670049,-73.922612,POINT (-73.922612 40.670049)
M15,PIKE ST/MADISON ST,40.712625,-73.992622,POINT (-73.992622 40.712625)
B7,SARATOGA AV/HALSEY ST,40.685581,-73.917794,POINT (-73.917794 40.685581)
SIM34,BROADWAY/THOMAS ST,40.715865,-74.004977,POINT (-74.004977 40.715865)
QM4,6 AV/W 36 ST,40.751003,-73.98679,POINT (-73.98679 40.751003)
Q76,FRANCIS LEWIS BL/169 ST,40.772588,-73.795295,POINT (-73.795295 40.772588)
B60,WILSON AV/GATES AV,40.695075,-73.915925,POINT (-73.915925 40.695075)
Q19,HOYT AV/29 ST,40.771504,-73.918096,POINT (-73.918096 40.771504)
S59,RICHMOND AV/VICTORY BL,40.607533,-74.162351,POINT (-74.162351 40.607533)
M8,E 9 ST/AV A,40.727464,-73.982999,POINT (-73.982999 40.727464)
BX12+,AMEDOLA PL/WILKINSON AV,40.852176,-73.827301,POINT (-73.827301 40.852176)
SIM24,WEST SHORE EP/ARTHUR KILL RD,40.55713,-74.202823,POINT (-74.202823 40.55713)
S44,BEMENT AV/CASTLETON AV,40.634629,-74.11213,POINT (-74.11213 40.634629)
Q88,73 AV/FRANCIS LEWIS BL,40.736405,-73.772695,POINT (-73.772695 40.736405)
Q100,21 ST/41 AV,40.754074,-73.942414,POINT (-73.942414 40.754074)
BM4,OCEAN AV / AV K,40.62357,-73.955771,POINT (-73.955771 40.62357)
SIM34,VICTORY BL/MANOR RD,40.613042,-74.122229,POINT (-74.122229 40.613042)
SIM32,S GANNON AV/BRADLEY AV,40.607694,-74.131704,POINT (-74.131704 40.607694)
BX5,BRUCKNER BL/TREMONT AV,40.83315,-73.82763,POINT (-73.82763 40.83315)
B7,KINGS HY/UTICA AV,40.634364,-73.928319,POINT (-73.928319 40.634364)
BX8,BRONXWOOD AV/E GUN HILL RD,40.875661,-73.860554,POINT (-73.860554 40.875661)
Q5,MERRICK BL/BAISLEY BL,40.684112,-73.770144,POINT (-73.770144 40.684112)
M55,5 AV/W 41 ST,40.753191,-73.981154,POINT (-73.981154 40.753191)
Q60,QUEENS BL/35 ST,40.744237,-73.92968,POINT (-73.92968 40.744237)
B15,NEW LOTS AV/ASHFORD ST,40.666296,-73.882727,POINT (-73.882727 40.666296)
Q4,MERRICK BL/LIBERTY AV,40.702433,-73.79054,POINT (-73.79054 40.702433)
B4,BAY RIDGE PY/FT HAMILTON PY,40.625839,-74.016671,POINT (-74.016671 40.625839)
S79+,4 AV/86 ST,40.622658,-74.028343,POINT (-74.028343 40.622658)
M98,3 AV/E 125 ST,40.80389,-73.935524,POINT (-73.935524 40.80389)
B3,AV U/NOSTRAND AV,40.600492,-73.941683,POINT (-73.941683 40.600492)
Q11,CROSS BAY BL/LIBERTY AV,40.679836,-73.844731,POINT (-73.844731 40.679836)
SIM10,HYLAN BL/CANNON BL,40.565114,-74.114835,POINT (-74.114835 40.565114)
BX46,PROSPECT AV/WESTCHESTER AV,40.819315,-73.901848,POINT (-73.901848 40.819315)
S76,RICHMOND RD/NEW DORP LA,40.575927,-74.119378,POINT (-74.119378 40.575927)
Q2,HOLLIS AV/207 ST,40.707641,-73.750206,POINT (-73.750206 40.707641)
B52,GATES AV/NOSTRAND AV,40.686129,-73.950865,POINT (-73.950865 40.686129)
S53,HYLAN BL/NORWAY AV,40.598498,-74.08127,POINT (-74.08127 40.598498)
BX25,ALLERTON AV/WILLIAMSBRIDGE RD,40.865408,-73.859071,POINT (-73.859071 40.865408)
Q44+,BOSTON RD/E 180 ST,40.842561,-73.878332,POINT (-73.878332 40.842561)
M57,W 57 ST/AV OF THE AMERICAS,40.764061,-73.976728,POINT (-73.976728 40.764061)
S96,TELEPORT DR/CORP COMMONS BLDG,40.60453,-74.178526,POINT (-74.178526 40.60453)
BX16,NEREID AV/WHITE PLAINS RD,40.89844,-73.854552,POINT (-73.854552 40.89844)
BX4,WESTCHESTER AV/SIMPSON ST,40.82431,-73.892769,POINT (-73.892769 40.82431)
BXM3,5 AV/W 55 ST,40.761646,-73.975047,POINT (-73.975047 40.761646)
Q111,GUY R BREWER BL /115 AV,40.687713,-73.784932,POINT (-73.784932 40.687713)
B67,FLATBUSH AV/PACIFIC ST,40.683169,-73.976717,POINT (-73.976717 40.683169)
QM17,CROSS BAY BL/159 AV,40.659283,-73.840092,POINT (-73.840092 40.659283)
Q30,UTOPIA PY/UNION TP,40.725924,-73.791855,POINT (-73.791855 40.725924)
X28,CROPSEY AV/BAY 52 ST,40.58335,-73.986611,POINT (-73.986611 40.58335)
BXM2,HENRY HUDSON PKY E/W 239 ST,40.88952,-73.908064,POINT (-73.908064 40.88952)
Q65,COLLEGE PT BL/123 ST,40.773561,-73.845946,POINT (-73.845946 40.773561)
BM1,E 23 ST / 1 AV,40.73705,-73.978653,POINT (-73.978653 40.73705)
B7,SARATOGA AV/SUTTER AV,40.666456,-73.916681,POINT (-73.916681 40.666456)
Q18,30 AV/STEINWAY ST,40.763947,-73.915187,POINT (-73.915187 40.763947)
BX28,E MOSHOLU PY S/JEROME AV,40.879494,-73.8856,POINT (-73.8856 40.879494)
B47,MARCUS GARVEY BLVD/BROADWAY,40.699574,-73.941444,POINT (-73.941444 40.699574)
B52,FULTON ST/BOND ST,40.689709,-73.983099,POINT (-73.983099 40.689709)
B60,WILSON AV/GREENE AV,40.697289,-73.919863,POINT (-73.919863 40.697289)
S55,HYLAN BL/WENDY DR,40.526804,-74.178204,POINT (-74.178204 40.526804)
M100,AMSTERDAM AV/W 145 ST,40.825623,-73.947214,POINT (-73.947214 40.825623)
BXM18,W 230 ST / BROADWAY,40.877199,-73.906891,POINT (-73.906891 40.877199)
M2,5 AV/W 23 ST,40.74124,-73.990062,POINT (-73.990062 40.74124)
Q24,ARCHER AV/SUTPHIN BL,40.700505,-73.807825,POINT (-73.807825 40.700505)
Q48,DITMARS BL/102 ST,40.768721,-73.868476,POINT (-73.868476 40.768721)
Q55,MYRTLE AV/CYPRESS HILLS ST,40.700986,-73.890967,POINT (-73.890967 40.700986)
M11,W 135 ST/BROADWAY,40.819614,-73.954283,POINT (-73.954283 40.819614)
QM7,UNION TPKE/187 ST,40.729083,-73.782014,POINT (-73.782014 40.729083)
B63,5 AV/9 ST,40.66891,-73.986637,POINT (-73.986637 40.66891)
Q24,ATLANTIC AV/LEFFERTS BL,40.694028,-73.827505,POINT (-73.827505 40.694028)
B82,KINGS HWY/RYDER ST,40.622122,-73.937456,POINT (-73.937456 40.622122)
SIM4C,5 AV/W 40 ST,40.752314,-73.981856,POINT (-73.981856 40.752314)
B9,FLATBUSH AV/TROY AV,40.619715,-73.93353,POINT (-73.93353 40.619715)
BX19,SOUTHERN BL/BOSTON RD,40.837199,-73.887785,POINT (-73.887785 40.837199)
B9,BAY RIDGE AV/3 AV,40.635935,-74.026507,POINT (-74.026507 40.635935)
S78,AMBOY RD/MAIN ST,40.509012,-74.246753,POINT (-74.246753 40.509012)
SIM22,E 57 ST/ LEXINGTON AV,40.760812,-73.968693,POINT (-73.968693 40.760812)
BX7,W 231 ST/BROADWAY,40.879254,-73.9054,POINT (-73.9054 40.879254)
M11,W 135 ST/BROADWAY,40.82044,-73.955723,POINT (-73.955723 40.82044)
SIM10,HYLAN BL/MALLORY AV,40.598554,-74.080815,POINT (-74.080815 40.598554)
BX15,3 AV/E 169 ST,40.832911,-73.905044,POINT (-73.905044 40.832911)
BX42,E BURNSIDE AV/JEROME AV,40.853609,-73.906964,POINT (-73.906964 40.853609)
Q69,DITMARS BL/31 ST,40.775832,-73.910318,POINT (-73.910318 40.775832)
Q2,HILLSIDE AV/187 ST,40.714481,-73.775904,POINT (-73.775904 40.714481)
X38,E 23 ST/1 AV,40.736864,-73.978704,POINT (-73.978704 40.736864)
SIM8,ELTINGVILLE/TRANSIT CENTER,40.560931,-74.171352,POINT (-74.171352 40.560931)
Q38,PENELOPE AV/DRY HARBOR RD,40.720107,-73.873112,POINT (-73.873112 40.720107)
Q43,HILLSIDE AV/SPRINGFIELD BL,40.729615,-73.744606,POINT (-73.744606 40.729615)
BM2,AV H / E 32 ST,40.631852,-73.946005,POINT (-73.946005 40.631852)
B43,GRAHAM AV/GRAND ST,40.711973,-73.943884,POINT (-73.943884 40.711973)
SIM7,BROADWAY/E 13 ST,40.734426,-73.990909,POINT (-73.990909 40.734426)
Q54,GRAND ST/GRAHAM AV,40.711605,-73.944534,POINT (-73.944534 40.711605)
B9,AV M/E 15 ST,40.618013,-73.959211,POINT (-73.959211 40.618013)
M9,E HOUSTON ST/NORFOLK ST,40.721657,-73.984989,POINT (-73.984989 40.721657)
SIM1,HYLAN BL/LINCOLN AV,40.576815,-74.103316,POINT (-74.103316 40.576815)
S74,BRICKTOWN SHOPPING/CENTER,40.528346,-74.230218,POINT (-74.230218 40.528346)
B46,KINGS PLAZA,40.609564,-73.921817,POINT (-73.921817 40.609564)
S52,TOMPKINS AV/HYLAN BL,40.611259,-74.071111,POINT (-74.071111 40.611259)
Q28,23 AV/BELL BL,40.782255,-73.77704,POINT (-73.77704 40.782255)
S57,BRADLEY AV/BRIELLE AV,40.598742,-74.130676,POINT (-74.130676 40.598742)
BM4,TRINITY PL/RECTOR ST,40.708017,-74.012775,POINT (-74.012775 40.708017)
M57,E 57 ST/MADISON AV,40.762383,-73.972425,POINT (-73.972425 40.762383)
S96,ST GEORGE FERRY/S46 & S96,40.643403,-74.073632,POINT (-74.073632 40.643403)
Q56,JAMAICA AV/107 ST,40.695398,-73.839932,POINT (-73.839932 40.695398)
Q20A,MAIN ST/HORACE HARDING EY N,40.74281,-73.825588,POINT (-73.825588 40.74281)
M104,BROADWAY/W 63 ST,40.77147,-73.981943,POINT (-73.981943 40.77147)
Q67,49 AV/21 ST,40.742369,-73.94875,POINT (-73.94875 40.742369)
M116,W 106 ST/BROADWAY,40.801154,-73.967576,POINT (-73.967576 40.801154)
S55,ANNADALE RD/POSEN ST,40.54079,-74.177288,POINT (-74.177288 40.54079)
QM44,3 AV/E 55 ST,40.759026,-73.968297,POINT (-73.968297 40.759026)
Q58,CORONA AV/JUNCTION BL,40.742062,-73.867676,POINT (-73.867676 40.742062)
B44+,BEDFORD AV/FLUSHING AV,40.698884,-73.956915,POINT (-73.956915 40.698884)
B17,GLENWOOD RD/EAST 96 ST,40.644854,-73.90264,POINT (-73.90264 40.644854)
Q25,PARSONS BL/HILLSIDE AV,40.707861,-73.802937,POINT (-73.802937 40.707861)
BX40,E TREMONT AV/ERICSON PL,40.839877,-73.837227,POINT (-73.837227 40.839877)
Q111,ARCHER AV /PARSONS BL,40.702656,-73.798625,POINT (-73.798625 40.702656)
Q29,81 ST/MYRTLE AV,40.703406,-73.867265,POINT (-73.867265 40.703406)
S42,WESTERVELT AV/CRESCENT AV,40.64373,-74.084305,POINT (-74.084305 40.64373)
M57,W 72 ST/BROADWAY,40.779127,-73.982766,POINT (-73.982766 40.779127)
B57,FLUSHING AV/HUMBOLDT ST,40.70102,-73.940871,POINT (-73.940871 40.70102)
B46,MALCOLM X BL/DE KALB AV,40.693112,-73.931178,POINT (-73.931178 40.693112)
Q30,UTOPIA PY/HORACE HARDING EXP,40.738506,-73.793032,POINT (-73.793032 40.738506)
Q56,JAMAICA AV/WOODHAVEN BL,40.69346,-73.852482,POINT (-73.852482 40.69346)
X37,MADISON AV /E 42 ST,40.75297,-73.979002,POINT (-73.979002 40.75297)
QM4,JEWEL AV/QUEENS BL,40.723039,-73.846708,POINT (-73.846708 40.723039)
Q30,HORACE HARDING EXP/FRANCIS LEWIS BL,40.743697,-73.776567,POINT (-73.776567 40.743697)
Q7,S CARGO RD/CARGO PLZ,40.652909,-73.794896,POINT (-73.794896 40.652909)
M14A+,HUDSON ST/WEST 13 ST,40.740728,-74.005262,POINT (-74.005262 40.740728)
BX30,DREISER LOOP/DEFOE PL,40.876197,-73.82947,POINT (-73.82947 40.876197)
B47,RALPH AV/BEVERLY RD,40.647143,-73.920253,POINT (-73.920253 40.647143)
M50,W 50 ST/11 AV,40.765735,-73.994534,POINT (-73.994534 40.765735)
Q23,108 ST/67 AV,40.728888,-73.847389,POINT (-73.847389 40.728888)
SIM31,E 23 ST / 1 AV,40.73705,-73.978653,POINT (-73.978653 40.73705)
BX26,ASCH LOOP/BARTOW AV,40.869347,-73.830642,POINT (-73.830642 40.869347)
SIM34,CHURCH ST /WORTH ST,40.716991,-74.006211,POINT (-74.006211 40.716991)
B3,AV U/OCEAN AV,40.599392,-73.951901,POINT (-73.951901 40.599392)
M15,2 AV/E 96 ST,40.783817,-73.947494,POINT (-73.947494 40.783817)
BX36,UNIVERSITY AV/ W 175 ST,40.847651,-73.919561,POINT (-73.919561 40.847651)
S86,ST GEORGE FERRY/S 76 & S86,40.643278,-74.073612,POINT (-74.073612 40.643278)
S91,VICTORY BL/FOREST AV,40.630279,-74.088817,POINT (-74.088817 40.630279)
S59,FOREST AV/WILLOW RD E,40.624908,-74.145244,POINT (-74.145244 40.624908)
Q5,MERRICK BL/233 ST,40.674949,-73.736661,POINT (-73.736661 40.674949)
M11,9 AV/W 34 ST,40.753153,-73.996625,POINT (-73.996625 40.753153)
B82+,ROCKAWAY PKWY/SUBWAY STATION,40.645679,-73.902111,POINT (-73.902111 40.645679)
B103,E 80 ST / FLATLANDS AV,40.635351,-73.91317,POINT (-73.91317 40.635351)
SIM11,E 23 ST / 1 AV,40.73705,-73.978653,POINT (-73.978653 40.73705)
BX16,SANFORD BL/S 11 AV,40.897937,-73.839093,POINT (-73.839093 40.897937)
M11,BROADWAY/W 133 ST,40.818494,-73.955937,POINT (-73.955937 40.818494)
Q10,LEFFERTS BL /JAMAICA AV,40.699829,-73.830944,POINT (-73.830944 40.699829)
M15,1 AV/E 57 ST,40.758829,-73.962462,POINT (-73.962462 40.758829)
M15,2 AV/E 116 ST,40.796723,-73.93804,POINT (-73.93804 40.796723)
BM2,FLATLANDS AV / WILLIAMS AV,40.650061,-73.891029,POINT (-73.891029 40.650061)
QM25,ELIOT AV/85 ST,40.728012,-73.872979,POINT (-73.872979 40.728012)
BX26,BARTOW AV/ELY AV,40.86788,-73.834403,POINT (-73.834403 40.86788)
Q113,MOTT AV /CENTRAL AV,40.60427,-73.752724,POINT (-73.752724 40.60427)
BX2,LINCOLN AV/E 137 ST,40.809617,-73.928272,POINT (-73.928272 40.809617)
B64,BATH AV/18 AV,40.604194,-74.006569,POINT (-74.006569 40.604194)
BXM6,5 AV/W 51 ST,40.759315,-73.976742,POINT (-73.976742 40.759315)
BX38,E GUN HILL RD/BOSTON RD,40.873478,-73.854028,POINT (-73.854028 40.873478)
B7,LENOX RD/E 98 ST,40.659872,-73.917761,POINT (-73.917761 40.659872)
BX27,WESTCHESTER AV/WHITLOCK AV,40.827495,-73.886273,POINT (-73.886273 40.827495)
Q24,BROADWAY/HALSEY ST,40.685949,-73.915792,POINT (-73.915792 40.685949)
S62,VICTORY BL/FOREST AV,40.630279,-74.088817,POINT (-74.088817 40.630279)
QM12,E 34 ST /3 AV,40.746026,-73.97858,POINT (-73.97858 40.746026)
Q27,39 AV/MAIN ST,40.760255,-73.830801,POINT (-73.830801 40.760255)
SIM9,BROADWAY/E 13 ST,40.734426,-73.990909,POINT (-73.990909 40.734426)
B48,FRANKLIN AV/FLUSHING AV,40.698328,-73.958858,POINT (-73.958858 40.698328)
L90,METROPOLITAN AV/UNION AV,40.714022,-73.951176,POINT (-73.951176 40.714022)
BX17,PROSPECT AV/E 169 ST,40.829276,-73.897739,POINT (-73.897739 40.829276)
B48,FRANKLIN AV/FULTON ST,40.680595,-73.955606,POINT (-73.955606 40.680595)
M34A+,E 34 ST/1 AV,40.744007,-73.97394,POINT (-73.97394 40.744007)
BX30,ASCH LOOP/BARTOW AV,40.869347,-73.830642,POINT (-73.830642 40.869347)
B44,NEW YORK AV/EASTERN PY,40.670227,-73.947618,POINT (-73.947618 40.670227)
M96,W 96 ST/BROADWAY,40.794392,-73.971407,POINT (-73.971407 40.794392)
Q3,188 ST/JAMAICA AV,40.71074,-73.770477,POINT (-73.770477 40.71074)
Q47,COOPER AV/81 ST,40.709603,-73.869074,POINT (-73.869074 40.709603)
BX27,RANDALL AV/ROSEDALE AV,40.816626,-73.865265,POINT (-73.865265 40.816626)
B36,SURF AV/W 37 ST,40.573779,-74.002511,POINT (-74.002511 40.573779)
S62,VICTORY BL/CLOVE RD,40.616078,-74.104545,POINT (-74.104545 40.616078)
M20,CHAMBERS ST/WEST ST,40.717131,-74.012599,POINT (-74.012599 40.717131)
BX5,SOUTHERN BL/WESTCHESTER AV,40.823675,-73.891896,POINT (-73.891896 40.823675)
M102,LEXINGTON AV/E 68 ST,40.767713,-73.964248,POINT (-73.964248 40.767713)
Q96,21 ST/41 AV,40.754074,-73.942414,POINT (-73.942414 40.754074)
SIM32,BATTERY PL/WASHINGTON ST,40.704787,-74.015502,POINT (-74.015502 40.704787)
B12,EAST NEW YORK AV/UNION ST,40.667597,-73.92141,POINT (-73.92141 40.667597)
BX40,PENNYFIELD AV/FT SCHUYLER ENT,40.809173,-73.801764,POINT (-73.801764 40.809173)
B57,FLUSHING AV/WASHINGTON AV,40.697647,-73.967907,POINT (-73.967907 40.697647)
Q85,MERRICK BL/LIBERTY AV,40.702433,-73.79054,POINT (-73.79054 40.702433)
BX21,BOSTON RD/E 169 ST,40.830926,-73.900787,POINT (-73.900787 40.830926)
B8,18 AV/86 ST,40.607126,-74.002697,POINT (-74.002697 40.607126)
BXM7,EINSTEIN LOOP/ELGAR PL,40.864332,-73.821798,POINT (-73.821798 40.864332)
S44,POST AV/JEWETT AV,40.630954,-74.130779,POINT (-74.130779 40.630954)
BX22,CASTLE HILL AV/LACOMBE AV,40.817262,-73.847486,POINT (-73.847486 40.817262)
BXM6,CROSS BRONX EXP/COMMONWEALTH AV,40.836146,-73.86899,POINT (-73.86899 40.836146)
B6,RALPH AV/FLATLANDS AV,40.632769,-73.918594,POINT (-73.918594 40.632769)
Q18,WOODSIDE AV/61 ST,40.745114,-73.904027,POINT (-73.904027 40.745114)
Q16,BAYSIDE AV/UNION ST,40.770199,-73.826405,POINT (-73.826405 40.770199)
B65,BERGEN ST/5 AV,40.681477,-73.976882,POINT (-73.976882 40.681477)
BX1,RIVERDALE AV/W 231 ST,40.881264,-73.909381,POINT (-73.909381 40.881264)
M101,3 AV/E 99 ST,40.787906,-73.947273,POINT (-73.947273 40.787906)
M55,W 44 ST/6 AV,40.755933,-73.98283,POINT (-73.98283 40.755933)
B3,STILLWELL AV/85 ST,40.597458,-73.985513,POINT (-73.985513 40.597458)
Q20A,MAIN ST/63 AV,40.739335,-73.82497,POINT (-73.82497 40.739335)
BX35,EDWARD L GRANT HY/UNIVERSITY AV,40.843774,-73.923082,POINT (-73.923082 40.843774)
BM5,SEAVIEW AV / PENNSYLVANIA AV,40.643015,-73.878354,POINT (-73.878354 40.643015)
Q59,BROADWAY/WYTHE AV,40.710487,-73.966188,POINT (-73.966188 40.710487)
QM15,157 AV/92 ST,40.662496,-73.841511,POINT (-73.841511 40.662496)
S61,YUKON AV/WATCHMANS OFFICE,40.574873,-74.165463,POINT (-74.165463 40.574873)
BM4,NOSTRAND AV / QUENTIN RD,40.610149,-73.9436,POINT (-73.9436 40.610149)
BM2,SEAVIEW AV / PENNSYLVANIA AV,40.643015,-73.878354,POINT (-73.878354 40.643015)
X28,BROADWAY/BROOME ST,40.721704,-74.000018,POINT (-74.000018 40.721704)
BX7,BROADWAY/W 207 ST BAY 1,40.867745,-73.921382,POINT (-73.921382 40.867745)
BX6+,E 163 ST/SOUTHERN BLVD,40.820955,-73.89174,POINT (-73.89174 40.820955)
B35,39 ST/1 AV,40.656155,-74.012027,POINT (-74.012027 40.656155)
BM1,RALPH AV /AV N,40.619781,-73.917171,POINT (-73.917171 40.619781)
BXM2,KAPPOCK ST/JOHNSON AV,40.87756,-73.9178,POINT (-73.9178 40.87756)
S78,HYLAN BL/PARKINSON AV,40.597826,-74.084157,POINT (-74.084157 40.597826)
QM34,3 AV/E 55 ST,40.758873,-73.968456,POINT (-73.968456 40.758873)
BX40,E 180 ST/SOUTHERN BL,40.846279,-73.884882,POINT (-73.884882 40.846279)
BXM1,RIVERDALE AV/ W 261 ST,40.910355,-73.903266,POINT (-73.903266 40.910355)
B16,CATON AV/MC DONALD AV,40.647264,-73.979852,POINT (-73.979852 40.647264)
B38,DE KALB AV/MALCOLM X BL,40.693691,-73.931604,POINT (-73.931604 40.693691)
Q34,SUTPHIN BL/94 AV,40.69914,-73.807077,POINT (-73.807077 40.69914)
QM15,84 ST/155 AV,40.664506,-73.849797,POINT (-73.849797 40.664506)
BX13,E 161 ST/RIVER AV,40.827546,-73.926228,POINT (-73.926228 40.827546)
B4,BAY RIDGE PY/FT HAMILTON PY,40.625722,-74.016365,POINT (-74.016365 40.625722)
M104,BROADWAY/W 79 ST,40.783599,-73.980392,POINT (-73.980392 40.783599)
SIM15,TRINITY PL/RECTOR ST,40.708017,-74.012775,POINT (-74.012775 40.708017)
X28,86 ST/7 AV,40.618778,-74.02154,POINT (-74.02154 40.618778)
BM3,TRINITY PL/RECTOR ST,40.708017,-74.012775,POINT (-74.012775 40.708017)
B45,ATLANTIC AV/FLATBUSH AV,40.683769,-73.976996,POINT (-73.976996 40.683769)
BM4,CHURCH ST/PARK PL,40.713187,-74.009252,POINT (-74.009252 40.713187)
BX42,E TREMONT AV/WESTCHESTER AV,40.840806,-73.842275,POINT (-73.842275 40.840806)
S57,SEAVIEW HOSP/DR E ROBITZEK BLDG,40.591421,-74.132451,POINT (-74.132451 40.591421)
Q3,FARMERS BL/182 ST,40.673156,-73.763855,POINT (-73.763855 40.673156)
BXM7,E 23 ST/MADISON AV,40.740783,-73.987563,POINT (-73.987563 40.740783)
Q111,PENINSULA BL /ROCKAWAY TPK,40.628457,-73.736962,POINT (-73.736962 40.628457)
BX42,WEBSTER AV/E 180 ST,40.851308,-73.898827,POINT (-73.898827 40.851308)
Q30,ARCHER AV /SUTPHIN BL,40.700477,-73.807879,POINT (-73.807879 40.700477)
QM40,WOODHAVEN BL/HOFFMAN DR,40.732651,-73.871091,POINT (-73.871091 40.732651)
B16,86 ST/5 AV,40.621293,-74.026112,POINT (-74.026112 40.621293)
B7,KINGS HY/UTICA AV,40.633852,-73.928686,POINT (-73.928686 40.633852)
B54,MYRTLE AV/BROADWAY,40.696948,-73.935287,POINT (-73.935287 40.696948)
Q27,46 AV/PARSONS BLVD,40.754253,-73.813333,POINT (-73.813333 40.754253)
Q36,213 ST/92 AV,40.720578,-73.747092,POINT (-73.747092 40.720578)
BXM3,VAN CORTLANDT AV W/BAILEY AV,40.88574,-73.894886,POINT (-73.894886 40.88574)
S74,ELTINGVILLE/TRANSIT CENTER,40.560645,-74.171275,POINT (-74.171275 40.560645)
BXM9,RANDALL AV/CROSS BRONX EX,40.824992,-73.824066,POINT (-73.824066 40.824992)
SIM7,HYLAN BL/CANNON BL,40.565114,-74.114835,POINT (-74.114835 40.565114)
M11,AMSTERDAM AV/W 100 ST,40.796869,-73.968181,POINT (-73.968181 40.796869)
M60+,HOYT AV/31 ST,40.771302,-73.9178,POINT (-73.9178 40.771302)
